,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Outlier
0,CA-2017-152156,2017-11-08,2017-11-11,second class,CG-12520,claire gute,consumer,henderson,kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,bush somerset collection bookcase,261.96,False
1,CA-2017-152156,2017-11-08,2017-11-11,second class,CG-12520,claire gute,consumer,henderson,kentucky,42420,south,FUR-CH-10000454,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,True
2,CA-2017-138688,2017-06-12,2017-06-16,second class,DV-13045,darrin van huff,corporate,los angeles,california,90036,west,OFF-LA-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,False
3,US-2016-108966,2016-10-11,2016-10-18,standard class,SO-20335,sean o'donnell,consumer,fort lauderdale,florida,33311,south,FUR-TA-10000577,furniture,tables,bretford cr4500 series slim rectangular table,957.5775,True
4,US-2016-108966,2016-10-11,2016-10-18,standard class,SO-20335,sean o'donnell,consumer,fort lauderdale,florida,33311,south,OFF-ST-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368,False
5,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,los angeles,california,90032,west,FUR-FU-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,False
6,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,los angeles,california,90032,west,OFF-AR-10002833,office supplies,art,newell 322,7.28,False
7,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,los angeles,california,90032,west,TEC-PH-10002275,technology,phones,mitel 5320 ip phone voip phone,907.152,True
8,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,los angeles,california,90032,west,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,False
9,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,los angeles,california,90032,west,OFF-AP-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,False
10,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,los angeles,california,90032,west,FUR-TA-10001539,furniture,tables,chromcraft rectangular conference tables,1706.184,True
11,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,los angeles,california,90032,west,TEC-PH-10002033,technology,phones,konftel 250 conference phone - charcoal black,911.424,True
12,CA-2018-114412,2018-04-15,2018-04-20,standard class,AA-10480,andrew allen,consumer,concord,north carolina,28027,south,OFF-PA-10002365,office supplies,paper,xerox 1967,15.552,False
13,CA-2017-161389,2017-12-05,2017-12-10,standard class,IM-15070,irene maddox,consumer,seattle,washington,98103,west,OFF-BI-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,False
14,US-2016-118983,2016-11-22,2016-11-26,standard class,HP-14815,harold pawlan,home office,fort worth,texas,76106,central,OFF-AP-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81,False
15,US-2016-118983,2016-11-22,2016-11-26,standard class,HP-14815,harold pawlan,home office,fort worth,texas,76106,central,OFF-BI-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,False
16,CA-2015-105893,2015-11-11,2015-11-18,standard class,PK-19075,pete kriz,consumer,madison,wisconsin,53711,central,OFF-ST-10004186,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88,True
17,CA-2015-167164,2015-05-13,2015-05-15,second class,AG-10270,alejandro grove,consumer,west jordan,utah,84084,west,OFF-ST-10000107,office supplies,storage,fellowes super stor/drawer,55.5,False
18,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,zuschuss donatelli,consumer,san francisco,california,94109,west,OFF-AR-10003056,office supplies,art,newell 341,8.56,False
19,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,zuschuss donatelli,consumer,san francisco,california,94109,west,TEC-PH-10001949,technology,phones,cisco spa 501g ip phone,213.48,False
20,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,zuschuss donatelli,consumer,san francisco,california,94109,west,OFF-BI-10002215,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72,False
21,CA-2017-137330,2017-12-09,2017-12-13,standard class,KB-16585,ken black,corporate,fremont,nebraska,68025,central,OFF-AR-10000246,office supplies,art,newell 318,19.46,False
22,CA-2017-137330,2017-12-09,2017-12-13,standard class,KB-16585,ken black,corporate,fremont,nebraska,68025,central,OFF-AP-10001492,office supplies,appliances,"acco six-outlet power strip, 4' cord length",60.34,False
23,US-2018-156909,2018-07-16,2018-07-18,second class,SF-20065,sandra flanagan,consumer,philadelphia,pennsylvania,19140,east,FUR-CH-10002774,furniture,chairs,"global deluxe stacking chair, gray",71.372,False
24,CA-2016-106320,2016-09-25,2016-09-30,standard class,EB-13870,emily burns,consumer,orem,utah,84057,west,FUR-TA-10000577,furniture,tables,bretford cr4500 series slim rectangular table,1044.63,True
25,CA-2017-121755,2017-01-16,2017-01-20,second class,EH-13945,eric hoffmann,consumer,los angeles,california,90049,west,OFF-BI-10001634,office supplies,binders,wilson jones active use binders,11.648,False
26,CA-2017-121755,2017-01-16,2017-01-20,second class,EH-13945,eric hoffmann,consumer,los angeles,california,90049,west,TEC-AC-10003027,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57,False
27,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140,east,FUR-BO-10004834,furniture,bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43,True
28,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140,east,OFF-BI-10000474,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618,False
29,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140,east,FUR-FU-10004848,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2,False
30,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140,east,OFF-EN-10001509,office supplies,envelopes,poly string tie envelopes,3.264,False
31,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140,east,OFF-AR-10004042,office supplies,art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304,False
32,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140,east,OFF-BI-10001525,office supplies,binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858,False
33,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,philadelphia,pennsylvania,19140,east,OFF-AR-10001683,office supplies,art,lumber crayons,15.76,False
34,CA-2018-107727,2018-10-19,2018-10-23,second class,MA-17560,matt abelman,home office,houston,texas,77095,central,OFF-PA-10000249,office supplies,paper,easy-staple paper,29.472,False
35,CA-2017-117590,2017-12-08,2017-12-10,first class,GH-14485,gene hale,corporate,richardson,texas,75080,central,TEC-PH-10004977,technology,phones,ge 30524ee4,1097.544,True
36,CA-2017-117590,2017-12-08,2017-12-10,first class,GH-14485,gene hale,corporate,richardson,texas,75080,central,FUR-FU-10003664,furniture,furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92,False
37,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,steve nguyen,home office,houston,texas,77041,central,OFF-EN-10002986,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328,False
38,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,steve nguyen,home office,houston,texas,77041,central,FUR-BO-10002545,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992,True
39,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,steve nguyen,home office,houston,texas,77041,central,FUR-CH-10004218,furniture,chairs,"global fabric manager's chair, dark gray",212.058,False
40,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,steve nguyen,home office,houston,texas,77041,central,TEC-PH-10000486,technology,phones,plantronics hl10 handset lifter,371.168,False
41,CA-2018-120999,2018-09-10,2018-09-15,standard class,LC-16930,linda cazamias,corporate,naperville,illinois,60540,central,TEC-PH-10004093,technology,phones,panasonic kx-ts550,147.168,False
42,CA-2017-101343,2017-07-17,2017-07-22,standard class,RA-19885,ruben ausman,corporate,los angeles,california,90049,west,OFF-ST-10003479,office supplies,storage,"eldon base for stackable storage shelf, platinum",77.88,False
43,CA-2018-139619,2018-09-19,2018-09-23,standard class,ES-14080,erin smith,corporate,melbourne,florida,32935,south,OFF-ST-10003282,office supplies,storage,"advantus 10-drawer portable organizer, chrome metal frame, smoke drawers",95.616,False
